filename,dprove,pdr,iimc,IC3
a599test0082.aig,0.1,0.04,0.03,0.0
a59test0008.aig,0.03,0.03,0.04,0.0
a5test0002.aig,0.03,0.04,0.02,0.0
a600test0040.aig,0.03,0.04,0.04,0.0
a601test0056.aig,0.03,0.04,0.04,0.0
a602test0097.aig,0.03,0.03,0.03,0.0
a603test0055.aig,0.03,0.03,0.03,0.0
a604test0102.aig,0.02,0.04,0.03,0.0
a605test0062.aig,0.03,0.03,0.03,0.0
a606test0021.aig,0.03,0.03,0.03,0.0
a607test0005.aig,0.04,0.04,0.03,0.0
a608test0010.aig,0.04,0.03,0.03,0.0
a609test0051.aig,0.04,0.05,0.03,0.0
a60test0004.aig,0.04,0.03,0.03,0.0
a610test0104.aig,0.03,0.03,0.03,0.0
a611test0014.aig,0.03,0.04,0.06,0.0
a612test0036.aig,0.03,0.03,0.03,0.0
a613test0087.aig,0.04,0.04,0.03,0.0
a614test0091.aig,0.03,0.04,0.02,0.0
a615test0093.aig,0.02,0.03,0.03,0.0
a616test0001.aig,0.04,0.03,0.04,0.0
a617test0018.aig,0.03,0.04,0.03,0.0
a618test0075.aig,0.04,0.04,0.02,0.0
a619test0065.aig,0.08,0.05,0.03,0.0
a61test0015.aig,0.03,0.03,0.04,0.0
a620test0100.aig,0.04,0.04,0.03,0.0
a621test0086.aig,0.04,0.03,0.03,0.0
a622test0029.aig,0.03,0.04,0.03,0.0
a623test0035.aig,0.03,0.03,0.02,0.0
a624test0012.aig,0.07,0.03,0.03,0.0
a625test0095.aig,0.06,0.04,0.02,0.0
a626test0025.aig,0.03,0.04,0.04,0.0
a627test0061.aig,0.04,0.04,0.04,0.0
a628test0066.aig,0.03,0.03,0.03,0.0
a629test0052.aig,0.05,0.04,0.03,0.0
a630test0067.aig,0.03,0.04,0.04,0.0
a631test0073.aig,0.02,0.04,0.04,0.0
a632test0083.aig,0.03,0.04,0.03,0.0
a633test0076.aig,0.03,0.04,0.03,0.0
a634test0059.aig,0.05,0.03,0.03,0.0
a635test0032.aig,0.03,0.04,0.02,0.0
a636test0058.aig,0.03,0.04,0.03,0.0
a637test0068.aig,0.04,0.04,0.03,0.0
a638test0043.aig,0.03,0.04,0.03,0.0
a639test0017.aig,0.04,0.04,0.03,0.0
a640test0019.aig,0.05,0.04,0.02,0.0
a641test0030.aig,0.02,0.03,0.03,0.0
a642test0024.aig,0.03,0.04,0.03,0.0
a643test0044.aig,0.04,0.03,0.04,0.0
a644test0002.aig,0.04,0.04,0.03,0.0
a645test0042.aig,0.04,0.04,0.03,0.0
a646test0105.aig,0.02,0.03,0.04,0.0
a647test0101.aig,0.04,0.04,0.03,0.0
a648test0099.aig,0.04,0.03,0.03,0.0
a649test0047.aig,0.04,0.03,0.02,0.0
a650test0074.aig,0.03,0.03,0.05,0.0
a651test0090.aig,0.04,0.03,0.02,0.0
a652test0070.aig,0.03,0.04,0.03,0.0
a653test0023.aig,0.02,0.03,0.02,0.0
a654test0011.aig,0.06,0.04,0.02,0.0
a655test0003.aig,0.06,0.04,0.04,0.0
a656test0092.aig,0.03,0.04,0.03,0.0
a657test0107.aig,0.02,0.04,0.03,0.0
a658test0026.aig,0.04,0.04,0.02,0.0
a659test0071.aig,0.03,0.03,0.04,0.0
a660test0054.aig,0.04,0.03,0.04,0.0
a661test0057.aig,0.04,0.04,0.03,0.0
a662test0038.aig,0.07,0.04,0.03,0.0
a663test0096.aig,0.04,0.03,0.02,0.0
a664test0013.aig,0.04,0.04,0.03,0.0
a665test0064.aig,0.04,0.04,0.03,0.0
a666test0088.aig,0.04,0.04,0.03,0.0
a667test0022.aig,0.03,0.03,0.04,0.0
a668test0098.aig,0.03,0.03,0.03,0.0
a669test0063.aig,0.06,0.03,0.02,0.0
a670test0045.aig,0.05,0.04,0.05,0.0
a671test0006.aig,0.04,0.04,0.02,0.0
a672test0007.aig,0.03,0.03,0.03,0.0
a673test0046.aig,0.03,0.04,0.04,0.0
a674test0008.aig,0.04,0.04,0.05,0.0
a675test0084.aig,0.06,0.03,0.03,0.0
a676test0004.aig,0.04,0.04,0.04,0.0
a677test0037.aig,0.04,0.04,0.03,0.0
a678test0078.aig,0.02,0.03,0.04,0.0
a679test0060.aig,0.05,0.04,0.04,0.0
a680test0049.aig,0.03,0.03,0.03,0.0
a681test0048.aig,0.05,0.04,0.04,0.0
a682test0085.aig,0.04,0.04,0.02,0.0
a683test0094.aig,0.03,0.04,0.02,0.0
a684test0079.aig,0.03,0.03,0.02,0.0
a685test0080.aig,0.04,0.04,0.04,0.0
a686test0033.aig,0.04,0.03,0.03,0.0
a687test0020.aig,0.02,0.04,0.02,0.0
a688test0103.aig,0.03,0.04,0.03,0.0
