filename,dprove,pdr,iimc,IC3
Y86_std.aig,906.78,1102.27,1824.74,426.47
bin_eventlogadm_vc331208.aig,140.57,3.38,52.75,5.06
bin_libsmbsharemodes_vc5834.aig,0.58,0.89,47.14,0.46
ext_con_036_001_0064.aig,0.29,0.57,1.2,0.93
beemgear1b3.aig,0.21,0.14,0.24,0.23
lfsr_002_079_096.aig,29.37,9.63,151.16,40.44
beemelev1b1.aig,1.48,0.11,0.27,0.13
bin_libsmbsharemodes_vc5302.aig,0.66,1.06,91.37,0.39
pdtpmsarbiter.aig,0.05,0.07,0.08,0.0
bin_libmsrpc_vc1225896.aig,2.11,2.39,83.71,8.44
bin_libsmbclient_vc1225260.aig,84.46,2.53,71.29,3.79
ext_con_032_002_0512.aig,59.5,145.92,1097.93,841.76
minandmaxor064.aig,101.22,timeout,2704.67,706.98
bin_libsmbclient_vc1228490.aig,1.75,4.73,74.3,5.8
beempgsol5b1.aig,failed,55.61,262.53,timeout
convert-jpg2gif-query-1502.aig,0.4,0.38,25.4,0.3
bin_libsmbsharemodes_vc5735.aig,1.42,0.62,34.52,0.48
bin_libsmbsharemodes_vc5795.aig,0.45,1.16,59.51,0.83
ext_con_036_004_1024.aig,1290.75,1677.81,timeout,timeout
unconstrained04.aig,0.04,0.06,0.03,0.0
beembrdg1f1.aig,0.49,16.75,0.43,14.61
beemndhm1f2.aig,0.12,4.43,0.5,3.07
bb.aig,0.03,0.06,0.02,0.0
irst.dme5.B.aig,failed,1.49,23.14,45.65
bin_libmsrpc_vc1225390.aig,255.38,2.04,80.13,1.8
bin_libsmbsharemodes_vc7084.aig,0.86,0.83,33.42,0.61
bin_eventlogadm_vc344392.aig,105.1,2.17,29.97,3.34
beempgmprot3b5.aig,failed,1175.81,timeout,timeout
beemcmbrdg1f2.aig,failed,timeout,22.43,timeout
bin_libmsrpc_vc1225833.aig,3.1,2.32,94.71,3.46
beemrwtrs2f1.aig,5.08,timeout,2.13,timeout
ext_con_040_002_0512.aig,59.52,237.68,1165.8,2142.24
bin_eventlogadm_vc331045.aig,0.68,0.87,20.88,0.5
nnrpd_nnrpd_vc21631.aig,0.79,1.25,125.35,0.61
convert-jpg2gif-query-1230.aig,0.06,0.13,0.06,0.0
lfsr_004_159_032.aig,62.74,27.66,312.41,61.37
beemlifts8f1.aig,failed,timeout,824.98,timeout
bin_eventlogadm_vc354399.aig,0.04,0.05,0.09,0.0
convert-jpg2gif-query-1359.aig,0.13,0.19,15.22,0.11
bin_libsmbclient_vc1225835.aig,1.35,2.69,64.43,7.6
bin_eventlogadm_vc331113.aig,1.58,0.96,23.02,2.2
simple_processors_004_003_0004.aig,1.45,1.65,0.69,0.99
oc8051gm12data.aig,failed,2319.86,timeout,timeout
intel040.aig,failed,timeout,1846.44,timeout
beembkry5b1.aig,failed,timeout,743.24,timeout
bin_libmsrpc_vc1228463.aig,30.67,1.04,77.97,1.76
convert-jpg2gif-query-1603.aig,1.17,0.57,59.11,0.38
a51test0001.aig,0.04,0.04,0.04,0.0
a490test0003.aig,0.04,0.04,0.05,0.0
bin_libsmbsharemodes_vc4317.aig,237.25,3.72,136.94,4.64
a660test0054.aig,0.04,0.03,0.04,0.0
lfsr_004_031_016.aig,0.23,0.41,5.07,1.6
ext_con_032_001_0064.aig,0.16,0.44,1.72,0.65
bin_eventlogadm_vc351395.aig,3.33,4.7,40.1,10.54
beembrptwo1b2.aig,failed,820.94,41.86,timeout
bin_eventlogadm_vc352369.aig,3.47,2.43,35.24,2.21
a683test0094.aig,0.03,0.04,0.02,0.0
bin_libmsrpc_vc1228517.aig,66.62,4.04,141.06,2.86
beemfwt2b3.aig,1.09,5.72,1.81,411.64
eijk.S641.S.aig,0.21,0.06,0.6,0.02
a478test0005.aig,0.04,0.04,0.05,0.0
convert-jpg2gif-query-1275.aig,0.06,0.06,0.09,0.0
bobcount.aig,1.27,0.18,0.11,0.04
beemcycschd2b1.aig,0.16,0.08,0.07,0.1
6s134.aig,failed,timeout,2119.6,timeout
bin_libmsrpc_vc1225846.aig,2.74,1.7,86.04,1.5
bin_libmsrpc_vc1225391.aig,2.77,3.24,79.15,2.55
convert-jpg2gif-query-1446.aig,0.13,0.17,23.89,0.1
beembrptwo6f1.aig,failed,2444.87,7.48,timeout
bin_libsmbclient_vc1225739.aig,1.12,1.39,51.91,2.31
convert-jpg2gif-query-1410.aig,0.17,0.15,23.41,0.08
bin_eventlogadm_vc331160.aig,1.58,1.94,24.52,2.78
139464p0.aig,0.36,2.18,0.13,0.74
convert-jpg2gif-query-1201.aig,0.12,0.2,21.77,0.11
bin_libmsrpc_vc1228552.aig,4.24,3.52,123.35,5.66
beemfish7b1.aig,failed,0.41,0.31,0.64
bin_libmsrpc_vc1225834.aig,1.97,1.98,83.61,5.01
bin_libsmbsharemodes_vc7122.aig,1.27,1.19,39.86,2.91
bin_libsmbsharemodes_vc4825.aig,86.14,9.89,126.12,11.81
bin_libsmbsharemodes_vc4788.aig,0.48,0.54,42.56,0.34
a330test0007.aig,0.04,0.98,0.02,0.01
bin_libsmbclient_vc1228439.aig,1.2,1.8,145.64,2.47
bin_libsmbsharemodes_vc6254.aig,4.04,3.76,93.0,4.76
ext_con_020_004_0064.aig,52.83,14.75,3117.99,878.75
a642test0024.aig,0.03,0.04,0.03,0.0
6s355rb08740.aig,0.95,0.44,0.77,1.67
a59test0008.aig,0.03,0.03,0.04,0.0
maxxormaxorand008.aig,0.53,2.35,0.56,1.63
bob3.aig,12.92,3.7,2.79,1.5
problem_4.aig,0.57,0.05,0.04,0.0
beemkrebs2b1.aig,failed,0.12,0.32,0.26
a605test0062.aig,0.03,0.03,0.03,0.0
ext_con_016_001_0032.aig,0.11,0.07,0.14,0.03
bin_eventlogadm_vc331082.aig,21.44,1.02,20.39,0.9
convert-jpg2gif-query-1507.aig,0.03,0.04,0.08,0.0
ext_con_040_001_0016.aig,0.07,0.1,0.18,0.12
bin_libsmbsharemodes_vc7665.aig,1.92,2.59,80.89,5.19
bin_libmsrpc_vc1232142.aig,2.26,2.81,157.19,1.9
intel003.aig,254.44,0.09,0.35,0.1
beemndhm2f3.aig,3.93,24.56,2.39,55.85
bin_libsmbclient_vc1225144.aig,0.76,0.94,106.92,0.76
nnrpd_nnrpd_vc20436.aig,261.9,1.43,38.45,0.97
lfsr_002_159_128.aig,112.38,51.21,497.3,124.15
ext_con_040_002_0128.aig,101.41,233.7,1843.97,2189.32
bin_eventlogadm_vc331132.aig,46.92,2.31,25.85,4.22
convert-jpg2gif-query-1441.aig,0.14,0.11,21.77,0.06
bin_libsmbclient_vc1228413.aig,1.03,1.81,90.5,1.07
bin_eventlogadm_vc352293.aig,0.31,0.23,13.7,0.16
a496test0004.aig,0.03,0.03,0.05,0.0
beemextnc1b1.aig,failed,1622.38,timeout,timeout
bin_libsmbclient_vc1225841.aig,1.57,1.93,137.02,8.06
bin_libsmbsharemodes_vc7071.aig,0.72,0.92,40.52,1.31
ext_con_028_004_0256.aig,1148.48,227.85,timeout,timeout
bin_libmsrpc_vc1225895.aig,3.4,3.19,79.17,2.66
merge.phx.aig,0.68,0.21,10.28,0.11
beemsnpse5b1.aig,failed,38.98,12.18,229.1
beemptrsn2b1.aig,0.07,0.13,0.18,0.82
nextpoweroftwo512.aig,1441.29,89.04,144.02,288.0
6s38.aig,failed,timeout,timeout,709.76
a422test0046.aig,0.08,0.04,0.04,0.0
beemcycschd4f1.aig,failed,0.25,0.1,1.28
bgpd_bgpd_vc75770.aig,0.22,0.25,12.83,0.12
a699test0039.aig,0.03,0.04,0.03,0.0
ext_con_036_001_0016.aig,0.08,0.09,0.35,0.11
beemhanoi1f1.aig,failed,timeout,58.85,timeout
bin_libsmbsharemodes_vc6217.aig,1.25,1.24,117.5,1.28
ext_con_028_001_0256.aig,0.12,0.15,0.48,0.22
bin_libsmbsharemodes_vc5704.aig,0.95,0.66,41.72,2.08
bin_libsmbclient_vc1228384.aig,2.86,1.51,101.17,1.82
beemcoll2f1.aig,0.82,2.7,1.36,2.85
beemblks2f1.aig,failed,timeout,24.93,timeout
6s292rb037.aig,1.58,timeout,42.88,timeout
nnrpd_nnrpd_vc21217.aig,14.9,0.76,32.58,0.62
nlzbsdown008.aig,0.06,0.04,0.04,0.0
bin_libsmbsharemodes_vc6226.aig,1.63,1.47,97.79,4.09
a393test0014.aig,0.03,0.03,0.02,0.0
bin_eventlogadm_vc352365.aig,1.49,1.05,21.7,0.84
beemlann1f1.aig,failed,0.43,0.22,0.99
beemlifts5b1.aig,failed,67.19,3462.09,2666.67
ken.flash^01.C.aig,0.49,0.07,0.1,0.01
lfsr_008_127_064.aig,1566.51,675.5,timeout,1179.39
bin_eventlogadm_vc352385.aig,277.56,7.77,192.93,2.67
a602test0097.aig,0.03,0.03,0.03,0.0
convert-jpg2gif-query-1658.aig,0.04,0.05,0.07,0.0
bin_libmsrpc_vc1225843.aig,1.22,2.49,74.28,1.97
lfsr_004_063_096.aig,313.66,127.27,timeout,278.63
convert-jpg2gif-query-1676.aig,0.06,0.05,0.07,0.0
bin_libsmbclient_vc1225236.aig,1.57,1.5,38.15,2.64
src_wget_vc17897.aig,25.47,1.32,37.9,1.6
lfsr_008_031_064.aig,398.01,295.16,timeout,1563.46
ext_con_032_002_0064.aig,56.96,157.62,1317.64,793.3
beemrether3b1.aig,failed,timeout,67.14,timeout
beemfish2b1.aig,0.16,0.14,0.29,0.14
ext_con_040_008_0032.aig,1.25,1.0,3.63,3.04
lfsr_008_095_048.aig,688.89,175.35,1429.55,374.44
bin_libsmbclient_vc1225776.aig,247.81,3.36,91.6,2.35
beemblks3f1.aig,failed,timeout,12.43,timeout
innfeed_innfeed_vc36459.aig,0.84,0.71,78.43,0.76
beemblks4b1.aig,failed,186.71,timeout,timeout
beemcmbrdg6b1.aig,failed,2.42,3.6,30.16
lfsr_004_079_016.aig,0.52,1.73,42.51,7.77
bin_libmsrpc_vc1225853.aig,2.93,1.92,105.34,8.56
bin_libsmbclient_vc1225269.aig,3.01,2.42,62.86,14.42
beembrptwo3b2.aig,failed,2142.32,46.39,timeout
bin_eventlogadm_vc331102.aig,1.56,2.13,24.61,2.2
a332test0004.aig,0.02,0.04,0.03,0.0
bin_libsmbsharemodes_vc5753.aig,0.86,1.16,63.35,1.62
